cowcode2;ccdcodelet
700;AFG
700;AFG
700;AFG
700;AFG
700;AFG
700;AFG
700;AFG
700;AFG
700;AFG
700;AFG
700;AFG
700;AFG
700;AFG
700;AFG
700;AFG
700;AFG
700;AFG
700;AFG
700;AFG
700;AFG
700;AFG
700;AFG
700;AFG
700;AFG
700;AFG
700;AFG
700;AFG
700;AFG
700;AFG
700;AFG
700;AFG
700;AFG
700;AFG
700;AFG
700;AFG
700;AFG
700;AFG
700;AFG
700;AFG
700;AFG
700;AFG
700;AFG
700;AFG
700;AFG
700;AFG
700;AFG
700;AFG
700;AFG
700;AFG
700;AFG
700;AFG
700;AFG
700;AFG
700;AFG
700;AFG
700;AFG
700;AFG
700;AFG
700;AFG
700;AFG
700;AFG
700;AFG
700;AFG
339;ALB
339;ALB
339;ALB
339;ALB
339;ALB
339;ALB
339;ALB
339;ALB
339;ALB
339;ALB
339;ALB
339;ALB
339;ALB
339;ALB
339;ALB
339;ALB
339;ALB
339;ALB
339;ALB
339;ALB
339;ALB
339;ALB
339;ALB
339;ALB
339;ALB
339;ALB
339;ALB
339;ALB
339;ALB
339;ALB
339;ALB
339;ALB
339;ALB
339;ALB
339;ALB
339;ALB
339;ALB
339;ALB
339;ALB
339;ALB
339;ALB
339;ALB
339;ALB
339;ALB
339;ALB
339;ALB
339;ALB
339;ALB
339;ALB
339;ALB
339;ALB
339;ALB
339;ALB
339;ALB
339;ALB
339;ALB
339;ALB
339;ALB
339;ALB
339;ALB
339;ALB
339;ALB
339;ALB
615;DZA
615;DZA
615;DZA
615;DZA
615;DZA
615;DZA
615;DZA
615;DZA
615;DZA
615;DZA
615;DZA
615;DZA
615;DZA
615;DZA
615;DZA
615;DZA
615;DZA
615;DZA
615;DZA
615;DZA
615;DZA
615;DZA
615;DZA
615;DZA
615;DZA
615;DZA
615;DZA
615;DZA
615;DZA
615;DZA
615;DZA
615;DZA
615;DZA
615;DZA
615;DZA
615;DZA
615;DZA
615;DZA
615;DZA
615;DZA
615;DZA
615;DZA
615;DZA
615;DZA
615;DZA
615;DZA
615;DZA
232;ARR
232;ARR
232;ARR
232;ARR
232;ARR
232;ARR
232;ARR
232;ARR
232;ARR
232;ARR
232;ARR
232;ARR
232;ARR
232;ARR
232;ARR
232;ARR
540;AGO
540;AGO
540;AGO
540;AGO
540;AGO
540;AGO
540;AGO
540;AGO
540;AGO
540;AGO
540;AGO
540;AGO
540;AGO
540;AGO
540;AGO
540;AGO
540;AGO
540;AGO
540;AGO
540;AGO
540;AGO
540;AGO
540;AGO
540;AGO
540;AGO
540;AGO
540;AGO
540;AGO
540;AGO
540;AGO
540;AGO
540;AGO
540;AGO
540;AGO
58;ATG
58;ATG
58;ATG
58;ATG
58;ATG
58;ATG
58;ATG
58;ATG
58;ATG
58;ATG
58;ATG
58;ATG
58;ATG
58;ATG
58;ATG
58;ATG
58;ATG
58;ATG
58;ATG
58;ATG
58;ATG
58;ATG
58;ATG
58;ATG
58;ATG
58;ATG
58;ATG
58;ATG
160;ARG
160;ARG
160;ARG
160;ARG
160;ARG
160;ARG
160;ARG
160;ARG
160;ARG
160;ARG
160;ARG
160;ARG
160;ARG
160;ARG
160;ARG
160;ARG
160;ARG
160;ARG
160;ARG
160;ARG
160;ARG
160;ARG
160;ARG
160;ARG
160;ARG
160;ARG
160;ARG
160;ARG
160;ARG
160;ARG
160;ARG
160;ARG
160;ARG
160;ARG
160;ARG
160;ARG
160;ARG
160;ARG
160;ARG
160;ARG
160;ARG
160;ARG
160;ARG
160;ARG
160;ARG
160;ARG
160;ARG
160;ARG
160;ARG
160;ARG
160;ARG
160;ARG
160;ARG
160;ARG
160;ARG
160;ARG
160;ARG
160;ARG
160;ARG
160;ARG
160;ARG
160;ARG
160;ARG
371;ARM
371;ARM
371;ARM
371;ARM
371;ARM
371;ARM
371;ARM
371;ARM
371;ARM
371;ARM
371;ARM
371;ARM
371;ARM
371;ARM
371;ARM
371;ARM
371;ARM
371;ARM
900;AUS
900;AUS
900;AUS
900;AUS
900;AUS
900;AUS
900;AUS
900;AUS
900;AUS
900;AUS
900;AUS
900;AUS
900;AUS
900;AUS
900;AUS
900;AUS
900;AUS
900;AUS
900;AUS
900;AUS
900;AUS
900;AUS
900;AUS
900;AUS
900;AUS
900;AUS
900;AUS
900;AUS
900;AUS
900;AUS
900;AUS
900;AUS
900;AUS
900;AUS
900;AUS
900;AUS
900;AUS
900;AUS
900;AUS
900;AUS
900;AUS
900;AUS
900;AUS
900;AUS
900;AUS
900;AUS
900;AUS
900;AUS
900;AUS
900;AUS
900;AUS
900;AUS
900;AUS
900;AUS
900;AUS
900;AUS
900;AUS
900;AUS
900;AUS
900;AUS
900;AUS
900;AUS
900;AUS
305;AUT
305;AUT
305;AUT
305;AUT
305;AUT
305;AUT
305;AUT
305;AUT
305;AUT
305;AUT
305;AUT
305;AUT
305;AUT
305;AUT
305;AUT
305;AUT
305;AUT
305;AUT
305;AUT
305;AUT
305;AUT
305;AUT
305;AUT
305;AUT
305;AUT
305;AUT
305;AUT
305;AUT
305;AUT
305;AUT
305;AUT
305;AUT
305;AUT
305;AUT
305;AUT
305;AUT
305;AUT
305;AUT
305;AUT
305;AUT
305;AUT
305;AUT
305;AUT
305;AUT
305;AUT
305;AUT
305;AUT
305;AUT
305;AUT
305;AUT
305;AUT
305;AUT
305;AUT
305;AUT
305;AUT
305;AUT
305;AUT
305;AUT
305;AUT
305;AUT
305;AUT
305;AUT
305;AUT
373;AZE
373;AZE
373;AZE
373;AZE
373;AZE
373;AZE
373;AZE
373;AZE
373;AZE
373;AZE
373;AZE
373;AZE
373;AZE
373;AZE
373;AZE
373;AZE
373;AZE
373;AZE
31;BHS
31;BHS
31;BHS
31;BHS
31;BHS
31;BHS
31;BHS
31;BHS
31;BHS
31;BHS
31;BHS
31;BHS
31;BHS
31;BHS
31;BHS
31;BHS
31;BHS
31;BHS
31;BHS
31;BHS
31;BHS
31;BHS
31;BHS
31;BHS
31;BHS
31;BHS
31;BHS
31;BHS
31;BHS
31;BHS
31;BHS
31;BHS
31;BHS
31;BHS
31;BHS
31;BHS
692;BHR
692;BHR
692;BHR
692;BHR
692;BHR
692;BHR
692;BHR
692;BHR
692;BHR
692;BHR
692;BHR
692;BHR
692;BHR
692;BHR
692;BHR
692;BHR
692;BHR
692;BHR
692;BHR
692;BHR
692;BHR
692;BHR
692;BHR
692;BHR
692;BHR
692;BHR
692;BHR
692;BHR
692;BHR
692;BHR
692;BHR
692;BHR
692;BHR
692;BHR
692;BHR
692;BHR
692;BHR
692;BHR
771;BGD
771;BGD
771;BGD
771;BGD
771;BGD
771;BGD
771;BGD
771;BGD
771;BGD
771;BGD
771;BGD
771;BGD
771;BGD
771;BGD
771;BGD
771;BGD
771;BGD
771;BGD
771;BGD
771;BGD
771;BGD
771;BGD
771;BGD
771;BGD
771;BGD
771;BGD
771;BGD
771;BGD
771;BGD
771;BGD
771;BGD
771;BGD
771;BGD
771;BGD
771;BGD
771;BGD
771;BGD
771;BGD
53;BRB
53;BRB
53;BRB
53;BRB
53;BRB
53;BRB
53;BRB
53;BRB
53;BRB
53;BRB
53;BRB
53;BRB
53;BRB
53;BRB
53;BRB
53;BRB
53;BRB
53;BRB
53;BRB
53;BRB
53;BRB
53;BRB
53;BRB
53;BRB
53;BRB
53;BRB
53;BRB
53;BRB
53;BRB
53;BRB
53;BRB
53;BRB
53;BRB
53;BRB
53;BRB
53;BRB
53;BRB
53;BRB
53;BRB
53;BRB
53;BRB
53;BRB
53;BRB
370;BLR
370;BLR
370;BLR
370;BLR
370;BLR
370;BLR
370;BLR
370;BLR
370;BLR
370;BLR
370;BLR
370;BLR
370;BLR
370;BLR
370;BLR
370;BLR
370;BLR
370;BLR
211;BEL
211;BEL
211;BEL
211;BEL
211;BEL
211;BEL
211;BEL
211;BEL
211;BEL
211;BEL
211;BEL
211;BEL
211;BEL
211;BEL
211;BEL
211;BEL
211;BEL
211;BEL
211;BEL
211;BEL
211;BEL
211;BEL
211;BEL
211;BEL
211;BEL
211;BEL
211;BEL
211;BEL
211;BEL
211;BEL
211;BEL
211;BEL
211;BEL
211;BEL
211;BEL
211;BEL
211;BEL
211;BEL
211;BEL
211;BEL
211;BEL
211;BEL
211;BEL
211;BEL
211;BEL
211;BEL
211;BEL
211;BEL
211;BEL
211;BEL
211;BEL
211;BEL
211;BEL
211;BEL
211;BEL
211;BEL
211;BEL
211;BEL
211;BEL
211;BEL
211;BEL
211;BEL
211;BEL
80;BLZ
80;BLZ
80;BLZ
80;BLZ
80;BLZ
80;BLZ
80;BLZ
80;BLZ
80;BLZ
80;BLZ
80;BLZ
80;BLZ
80;BLZ
80;BLZ
80;BLZ
80;BLZ
80;BLZ
80;BLZ
80;BLZ
80;BLZ
80;BLZ
80;BLZ
80;BLZ
80;BLZ
80;BLZ
80;BLZ
80;BLZ
80;BLZ
434;BEN
434;BEN
434;BEN
434;BEN
434;BEN
434;BEN
434;BEN
434;BEN
434;BEN
434;BEN
434;BEN
434;BEN
434;BEN
434;BEN
434;BEN
434;BEN
434;BEN
434;BEN
434;BEN
434;BEN
434;BEN
434;BEN
434;BEN
434;BEN
434;BEN
434;BEN
434;BEN
434;BEN
434;BEN
434;BEN
434;BEN
434;BEN
434;BEN
434;BEN
434;BEN
434;BEN
434;BEN
434;BEN
434;BEN
434;BEN
434;BEN
434;BEN
434;BEN
434;BEN
434;BEN
434;BEN
434;BEN
434;BEN
434;BEN
760;BTN
760;BTN
760;BTN
760;BTN
760;BTN
760;BTN
760;BTN
760;BTN
760;BTN
760;BTN
760;BTN
760;BTN
760;BTN
760;BTN
760;BTN
760;BTN
760;BTN
760;BTN
760;BTN
760;BTN
760;BTN
760;BTN
760;BTN
760;BTN
760;BTN
760;BTN
760;BTN
760;BTN
760;BTN
760;BTN
760;BTN
760;BTN
760;BTN
760;BTN
760;BTN
760;BTN
760;BTN
760;BTN
760;BTN
760;BTN
760;BTN
760;BTN
760;BTN
760;BTN
760;BTN
760;BTN
760;BTN
760;BTN
760;BTN
760;BTN
760;BTN
760;BTN
760;BTN
760;BTN
760;BTN
760;BTN
760;BTN
760;BTN
760;BTN
760;BTN
760;BTN
760;BTN
760;BTN
145;BOL
145;BOL
145;BOL
145;BOL
145;BOL
145;BOL
145;BOL
145;BOL
145;BOL
145;BOL
145;BOL
145;BOL
145;BOL
145;BOL
145;BOL
145;BOL
145;BOL
145;BOL
145;BOL
145;BOL
145;BOL
145;BOL
145;BOL
145;BOL
145;BOL
145;BOL
145;BOL
145;BOL
145;BOL
145;BOL
145;BOL
145;BOL
145;BOL
145;BOL
145;BOL
145;BOL
145;BOL
145;BOL
145;BOL
145;BOL
145;BOL
145;BOL
145;BOL
145;BOL
145;BOL
145;BOL
145;BOL
145;BOL
145;BOL
145;BOL
145;BOL
145;BOL
145;BOL
145;BOL
145;BOL
145;BOL
145;BOL
145;BOL
145;BOL
145;BOL
145;BOL
145;BOL
145;BOL
346;BIH
346;BIH
346;BIH
346;BIH
346;BIH
346;BIH
346;BIH
346;BIH
346;BIH
346;BIH
346;BIH
346;BIH
346;BIH
346;BIH
346;BIH
346;BIH
346;BIH
346;BIH
571;BWA
571;BWA
571;BWA
571;BWA
571;BWA
571;BWA
571;BWA
571;BWA
571;BWA
571;BWA
571;BWA
571;BWA
571;BWA
571;BWA
571;BWA
571;BWA
571;BWA
571;BWA
571;BWA
571;BWA
571;BWA
571;BWA
571;BWA
571;BWA
571;BWA
571;BWA
571;BWA
571;BWA
571;BWA
571;BWA
571;BWA
571;BWA
571;BWA
571;BWA
571;BWA
571;BWA
571;BWA
571;BWA
571;BWA
571;BWA
571;BWA
571;BWA
571;BWA
140;BRA
140;BRA
140;BRA
140;BRA
140;BRA
140;BRA
140;BRA
140;BRA
140;BRA
140;BRA
140;BRA
140;BRA
140;BRA
140;BRA
140;BRA
140;BRA
140;BRA
140;BRA
140;BRA
140;BRA
140;BRA
140;BRA
140;BRA
140;BRA
140;BRA
140;BRA
140;BRA
140;BRA
140;BRA
140;BRA
140;BRA
140;BRA
140;BRA
140;BRA
140;BRA
140;BRA
140;BRA
140;BRA
140;BRA
140;BRA
140;BRA
140;BRA
140;BRA
140;BRA
140;BRA
140;BRA
140;BRA
140;BRA
140;BRA
140;BRA
140;BRA
140;BRA
140;BRA
140;BRA
140;BRA
140;BRA
140;BRA
140;BRA
140;BRA
140;BRA
140;BRA
140;BRA
140;BRA
835;BRN
835;BRN
835;BRN
835;BRN
835;BRN
835;BRN
835;BRN
835;BRN
835;BRN
835;BRN
835;BRN
835;BRN
835;BRN
835;BRN
835;BRN
835;BRN
835;BRN
835;BRN
835;BRN
835;BRN
835;BRN
835;BRN
835;BRN
835;BRN
835;BRN
355;BGR
355;BGR
355;BGR
355;BGR
355;BGR
355;BGR
355;BGR
355;BGR
355;BGR
355;BGR
355;BGR
355;BGR
355;BGR
355;BGR
355;BGR
355;BGR
355;BGR
355;BGR
355;BGR
355;BGR
355;BGR
355;BGR
355;BGR
355;BGR
355;BGR
355;BGR
355;BGR
355;BGR
355;BGR
355;BGR
355;BGR
355;BGR
355;BGR
355;BGR
355;BGR
355;BGR
355;BGR
355;BGR
355;BGR
355;BGR
355;BGR
355;BGR
355;BGR
355;BGR
355;BGR
355;BGR
355;BGR
355;BGR
355;BGR
355;BGR
355;BGR
355;BGR
355;BGR
355;BGR
355;BGR
355;BGR
355;BGR
355;BGR
355;BGR
355;BGR
355;BGR
355;BGR
355;BGR
439;BFA
439;BFA
439;BFA
439;BFA
439;BFA
439;BFA
439;BFA
439;BFA
439;BFA
439;BFA
439;BFA
439;BFA
439;BFA
439;BFA
439;BFA
439;BFA
439;BFA
439;BFA
439;BFA
439;BFA
439;BFA
439;BFA
439;BFA
439;BFA
439;BFA
439;BFA
439;BFA
439;BFA
439;BFA
439;BFA
439;BFA
439;BFA
439;BFA
439;BFA
439;BFA
439;BFA
439;BFA
439;BFA
439;BFA
439;BFA
439;BFA
439;BFA
439;BFA
439;BFA
439;BFA
439;BFA
439;BFA
439;BFA
439;BFA
516;BDI
516;BDI
516;BDI
516;BDI
516;BDI
516;BDI
516;BDI
516;BDI
516;BDI
516;BDI
516;BDI
516;BDI
516;BDI
516;BDI
516;BDI
516;BDI
516;BDI
516;BDI
516;BDI
516;BDI
516;BDI
516;BDI
516;BDI
516;BDI
516;BDI
516;BDI
516;BDI
516;BDI
516;BDI
516;BDI
516;BDI
516;BDI
516;BDI
516;BDI
516;BDI
516;BDI
516;BDI
516;BDI
516;BDI
516;BDI
516;BDI
516;BDI
516;BDI
516;BDI
516;BDI
516;BDI
516;BDI
811;KHM
811;KHM
811;KHM
811;KHM
811;KHM
811;KHM
811;KHM
811;KHM
811;KHM
811;KHM
811;KHM
811;KHM
811;KHM
811;KHM
811;KHM
811;KHM
811;KHM
811;KHM
811;KHM
811;KHM
811;KHM
811;KHM
811;KHM
811;KHM
811;KHM
811;KHM
811;KHM
811;KHM
811;KHM
811;KHM
811;KHM
811;KHM
811;KHM
811;KHM
811;KHM
811;KHM
811;KHM
811;KHM
811;KHM
811;KHM
811;KHM
811;KHM
811;KHM
811;KHM
811;KHM
811;KHM
811;KHM
811;KHM
811;KHM
811;KHM
811;KHM
811;KHM
811;KHM
811;KHM
811;KHM
811;KHM
471;CMR
471;CMR
471;CMR
471;CMR
471;CMR
471;CMR
471;CMR
471;CMR
471;CMR
471;CMR
471;CMR
471;CMR
471;CMR
471;CMR
471;CMR
471;CMR
471;CMR
471;CMR
471;CMR
471;CMR
471;CMR
471;CMR
471;CMR
471;CMR
471;CMR
471;CMR
471;CMR
471;CMR
471;CMR
471;CMR
471;CMR
471;CMR
471;CMR
471;CMR
471;CMR
471;CMR
471;CMR
471;CMR
471;CMR
471;CMR
471;CMR
471;CMR
471;CMR
471;CMR
471;CMR
471;CMR
471;CMR
471;CMR
471;CMR
20;CAN
20;CAN
20;CAN
20;CAN
20;CAN
20;CAN
20;CAN
20;CAN
20;CAN
20;CAN
20;CAN
20;CAN
20;CAN
20;CAN
20;CAN
20;CAN
20;CAN
20;CAN
20;CAN
20;CAN
20;CAN
20;CAN
20;CAN
20;CAN
20;CAN
20;CAN
20;CAN
20;CAN
20;CAN
20;CAN
20;CAN
20;CAN
20;CAN
20;CAN
20;CAN
20;CAN
20;CAN
20;CAN
20;CAN
20;CAN
20;CAN
20;CAN
20;CAN
20;CAN
20;CAN
20;CAN
20;CAN
20;CAN
20;CAN
20;CAN
20;CAN
20;CAN
20;CAN
20;CAN
20;CAN
20;CAN
20;CAN
20;CAN
20;CAN
20;CAN
20;CAN
20;CAN
20;CAN
402;CPV
402;CPV
402;CPV
402;CPV
402;CPV
402;CPV
402;CPV
402;CPV
402;CPV
402;CPV
402;CPV
402;CPV
402;CPV
402;CPV
402;CPV
402;CPV
402;CPV
402;CPV
402;CPV
402;CPV
402;CPV
402;CPV
402;CPV
402;CPV
402;CPV
402;CPV
402;CPV
402;CPV
402;CPV
402;CPV
402;CPV
402;CPV
402;CPV
402;CPV
482;CAF
482;CAF
482;CAF
482;CAF
482;CAF
482;CAF
482;CAF
482;CAF
482;CAF
482;CAF
482;CAF
482;CAF
482;CAF
482;CAF
482;CAF
482;CAF
482;CAF
482;CAF
482;CAF
482;CAF
482;CAF
482;CAF
482;CAF
482;CAF
482;CAF
482;CAF
482;CAF
482;CAF
482;CAF
482;CAF
482;CAF
482;CAF
482;CAF
482;CAF
482;CAF
482;CAF
482;CAF
482;CAF
482;CAF
482;CAF
482;CAF
482;CAF
482;CAF
482;CAF
482;CAF
482;CAF
482;CAF
482;CAF
482;CAF
483;TCD
483;TCD
483;TCD
483;TCD
483;TCD
483;TCD
483;TCD
483;TCD
483;TCD
483;TCD
483;TCD
483;TCD
483;TCD
483;TCD
483;TCD
483;TCD
483;TCD
483;TCD
483;TCD
483;TCD
483;TCD
483;TCD
483;TCD
483;TCD
483;TCD
483;TCD
483;TCD
483;TCD
483;TCD
483;TCD
483;TCD
483;TCD
483;TCD
483;TCD
483;TCD
483;TCD
483;TCD
483;TCD
483;TCD
483;TCD
483;TCD
483;TCD
483;TCD
483;TCD
483;TCD
483;TCD
483;TCD
483;TCD
483;TCD
155;CHL
155;CHL
155;CHL
155;CHL
155;CHL
155;CHL
155;CHL
155;CHL
155;CHL
155;CHL
155;CHL
155;CHL
155;CHL
155;CHL
155;CHL
155;CHL
155;CHL
155;CHL
155;CHL
155;CHL
155;CHL
155;CHL
155;CHL
155;CHL
155;CHL
155;CHL
155;CHL
155;CHL
155;CHL
155;CHL
155;CHL
155;CHL
155;CHL
155;CHL
155;CHL
155;CHL
155;CHL
155;CHL
155;CHL
155;CHL
155;CHL
155;CHL
155;CHL
155;CHL
155;CHL
155;CHL
155;CHL
155;CHL
155;CHL
155;CHL
155;CHL
155;CHL
155;CHL
155;CHL
155;CHL
155;CHL
155;CHL
155;CHL
155;CHL
155;CHL
155;CHL
155;CHL
155;CHL
710;CHN
710;CHN
710;CHN
710;CHN
710;CHN
710;CHN
710;CHN
710;CHN
710;CHN
710;CHN
710;CHN
710;CHN
710;CHN
710;CHN
710;CHN
710;CHN
710;CHN
710;CHN
710;CHN
710;CHN
710;CHN
710;CHN
710;CHN
710;CHN
710;CHN
710;CHN
710;CHN
710;CHN
710;CHN
710;CHN
710;CHN
710;CHN
710;CHN
710;CHN
710;CHN
710;CHN
710;CHN
710;CHN
710;CHN
710;CHN
710;CHN
710;CHN
710;CHN
710;CHN
710;CHN
710;CHN
710;CHN
710;CHN
710;CHN
710;CHN
710;CHN
710;CHN
710;CHN
710;CHN
710;CHN
710;CHN
710;CHN
710;CHN
710;CHN
710;CHN
710;CHN
710;CHN
710;CHN
100;COL
100;COL
100;COL
100;COL
100;COL
100;COL
100;COL
100;COL
100;COL
100;COL
100;COL
100;COL
100;COL
100;COL
100;COL
100;COL
100;COL
100;COL
100;COL
100;COL
100;COL
100;COL
100;COL
100;COL
100;COL
100;COL
100;COL
100;COL
100;COL
100;COL
100;COL
100;COL
100;COL
100;COL
100;COL
100;COL
100;COL
100;COL
100;COL
100;COL
100;COL
100;COL
100;COL
100;COL
100;COL
100;COL
100;COL
100;COL
100;COL
100;COL
100;COL
100;COL
100;COL
100;COL
100;COL
100;COL
100;COL
100;COL
100;COL
100;COL
100;COL
100;COL
100;COL
581;COM
581;COM
581;COM
581;COM
581;COM
581;COM
581;COM
581;COM
581;COM
581;COM
581;COM
581;COM
581;COM
581;COM
581;COM
581;COM
581;COM
581;COM
581;COM
581;COM
581;COM
581;COM
581;COM
581;COM
581;COM
581;COM
581;COM
581;COM
581;COM
581;COM
581;COM
581;COM
581;COM
581;COM
484;COG
484;COG
484;COG
484;COG
484;COG
484;COG
484;COG
484;COG
484;COG
484;COG
484;COG
484;COG
484;COG
484;COG
484;COG
484;COG
484;COG
484;COG
484;COG
484;COG
484;COG
484;COG
484;COG
484;COG
484;COG
484;COG
484;COG
484;COG
484;COG
484;COG
484;COG
484;COG
484;COG
484;COG
484;COG
484;COG
484;COG
484;COG
484;COG
484;COG
484;COG
484;COG
484;COG
484;COG
484;COG
484;COG
484;COG
484;COG
484;COG
94;CRI
94;CRI
94;CRI
94;CRI
94;CRI
94;CRI
94;CRI
94;CRI
94;CRI
94;CRI
94;CRI
94;CRI
94;CRI
94;CRI
94;CRI
94;CRI
94;CRI
94;CRI
94;CRI
94;CRI
94;CRI
94;CRI
94;CRI
94;CRI
94;CRI
94;CRI
94;CRI
94;CRI
94;CRI
94;CRI
94;CRI
94;CRI
94;CRI
